invoice_and_item_number,date,store_number,store_name,address,city,zip_code,store_location,county_number,county,category,category_name,vendor_number,vendor_name,item_number,item_description,pack,bottle_volume_ml,state_bottle_cost,state_bottle_retail,bottles_sold,sale_dollars,volume_sold_liters,volume_sold_gallons
INV-41948300004,2021-11-12,5971,Pony Creek Liquor / Glenwood,411 S Locust St,Glenwood,51534.0,POINT (-95.744542 41.042019),65,MILLS,1081600.0,Whiskey Liqueur,421.0,SAZERAC COMPANY  INC,64864,Fireball Cinnamon Whiskey,24,375,5.33,8.0,24,192.0,9.0,2.37
INV-41957000024,2021-11-12,5768,Casey's General Store #1886 / Ottumwa,504 W Mary St,Ottumwa,52501.0,POINT (-92.429253 40.994298),90,WAPELLO,1011100.0,Blended Whiskies,255.0,Infinium Spirits,87035,Skrewball Peanut Butter Whiskey Mini,12,50,14.0,21.0,12,252.0,0.6,0.15
INV-41936300010,2021-11-12,2459,Reinhart Foods,200 State Po Box 98,Guthrie Center,50115.0,,39,GUTHRIE,1081400.0,American Schnapps,65.0,Jim Beam Brands,82786,Dekuyper Buttershots,12,750,6.5,9.75,1,9.75,0.75,0.19
INV-41923600001,2021-11-12,5338,Kum & Go #539/ NW 2nd Ave,5050 NW 2nd Ave,Des Moines,50313.0,,77,POLK,1012100.0,Canadian Whiskies,260.0,DIAGEO AMERICAS,10803,Crown Royal Regal Apple Mini,10,50,7.35,11.03,3,33.09,0.15,0.03
INV-41944700001,2021-11-12,4183,Fareway Stores #589 / Decorah,103 E Main,Decorah,52101.0,POINT (-91.785286 43.303291),96,WINNESHIEK,1011200.0,Straight Bourbon Whiskies,125.0,CEDAR RIDGE VINEYARDS LL,17206,Cedar Ridge Bourbon,6,750,18.1,27.15,60,1629.0,45.0,11.88
INV-41924000041,2021-11-12,6140,Royal Food & Liquor / Des Moines,1443 2nd Ave,Des Moines,50314.0,POINT (-93.619783 41.605229),77,POLK,1052100.0,Imported Brandies,460.0,Shaw-Ross International,47649,Branson VSOP Grande Champagne,6,750,31.66,47.49,1,52.5,0.75,0.19
INV-41918400023,2021-11-12,4023,Wal-Mart 1389 / Boone,1515 SE Marshall St,Boone,50036.0,POINT (-93.869892 42.035093),8,BOONE,1011200.0,Straight Bourbon Whiskies,65.0,Jim Beam Brands,16676,Basil Hayden 8YR,12,750,22.5,33.75,6,202.5,4.5,1.18
INV-41963500001,2021-11-12,2602,Hy-Vee Food Store / Webster City,823  2nd St,Webster City,50595.0,POINT (-93.82579 42.470549),40,HAMILTON,1011200.0,Straight Bourbon Whiskies,115.0,CONSTELLATION BRANDS INC,18604,High West,6,750,21.0,31.5,3,94.5,2.25,0.59
INV-41944200001,2021-11-12,3857,Quillins Food Ranch / Waukon,9th St SW B,Waukon,52172.0,,3,ALLAMAKEE,1051100.0,American Brandies,434.0,LUXCO INC,54647,Arrow Blackberry Brandy,12,1000,6.38,9.57,12,114.84,12.0,3.17
INV-41950200001,2021-11-12,4824,Casey's General Store #3852 / Creston,107 W Taylor St,Creston,50801.0,POINT (-94.362115 41.049213),88,UNION,1012100.0,Canadian Whiskies,260.0,DIAGEO AMERICAS,10805,Crown Royal Regal Apple,24,375,8.0,12.0,24,288.0,9.0,2.37
INV-41932500018,2021-11-12,3461,Hometown Foods / Stuart,607 S Division St,Stuart,50250.0,,39,GUTHRIE,1012100.0,Canadian Whiskies,259.0,Heaven Hill Brands,11788,Black Velvet,6,1750,10.45,15.68,6,94.08,10.5,2.77
INV-41939400008,2021-11-12,5726,Ehlinger's Vinton Express,310 K Avenue South,Vinton,52349.0,POINT (-92.037532 42.168297),6,BENTON,1082200.0,Imported Schnapps,421.0,SAZERAC COMPANY  INC,69637,Dr McGillicuddys Cherry,12,1000,11.0,16.5,2,33.0,2.0,0.52
INV-41954200007,2021-11-12,4439,CENTER POINT FOODS,800 Ford Lane,Center Point,52213.0,POINT (-91.775735 42.177736),57,LINN,1011200.0,Straight Bourbon Whiskies,125.0,CEDAR RIDGE VINEYARDS LL,17206,Cedar Ridge Bourbon,6,750,18.1,27.15,2,54.3,1.5,0.39
INV-41961000003,2021-11-12,3825,Shop N Save #2 / E 14th,1372 E 14th St,Des Moines,50316.0,POINT (-93.600499 41.604847),77,POLK,1011200.0,Straight Bourbon Whiskies,65.0,Jim Beam Brands,27780,Jim Beam Apple Mini,12,50,7.0,10.5,1,10.5,0.05,0.01
